ID,Airline,Tail,ACPU_Version,KANDU_Version,Modem_Version,Aircraft_Type,Flight_Num,Departure_Airport,Arrival_Airport,Departure_Date_UTC,Arrival_Date_UTC,ASA_Mins,Theory_Availability,Actual_Time,Handoff_Time,Not_Connected_Time,Regulatory_Time,Out_Of_Network_Time,ACPU_Reset_Time,Ping_Availability,VTP_Ping_Availability,RTT_30,RTT_50,RTT_95,RTT_Average,Ux_Low_Rate,Ux_Median_Rate,Num_VTP_Resets,Num_VTP_Timeouts,Beams,HO_Success,HO_Failures,HO_Times,Forward_Link_Bytes,Reverse_Link_Bytes,GNMS_Forward_Link_Bytes,GNMS_Reverse_Link_Bytes,Modem_Forward_Link_Bytes,Modem_Reverse_Link_Bytes,Max_Num_Auth_Pass,Num_ACPU_Resets
9606463,DAL,N361NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL2253,KSEA,KSAN,12/8/19 15:47,12/8/19 18:04,116,100,100,0,0,0,0,0,98.6,97.7,663,676,994,708,30.29,30.29,0,3,3,2,0,0,11369.5,585.2,776,271.1,11196,279.4,9,0
9606445,DAL,N326NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1390,KSLC,KSFO,12/8/19 16:00,12/8/19 17:44,86,100,100,0,0,0,0,0,99.2,98.1,661,683,747,689,66.44,66.44,0,2,3,2,0,0,8483.9,155.8,670.2,74,8405.3,71.9,14,0
9608083,DAL,N351NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL2020,KSEA,KSAN,12/8/19 17:50,12/8/19 20:02,113,100,100,0,0,0,0,0,97.9,96.7,657,670,798,688,9.55,9.55,0,6,3,2,0,0,13156.8,462.3,2848.3,214.9,13112.8,228.3,18,0
9610777,DAL,N896DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL434,KMSP,KSLC,12/8/19 17:55,12/8/19 20:17,126,100,100,0,0,0,0,0,98.4,97.6,646,654,782,671,27.5,31.98,0,2,3,2,0,60,16517.1,1060.1,5012.4,550.6,16448.7,530.9,39,0
9608075,DAL,N821DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL2342,KDTW,KTPA,12/8/19 18:09,12/8/19 20:14,110,100,100,0,0,0,0,0,97.6,96.4,658,673,1342,782,24.22,38.97,0,2,1,0,0,,11736.9,369.2,1504.2,156.9,11523,183.4,14,0
9610593,DAL,N125DU,10.11.0,05.32.01,50.10.23.22,,DAL522,KSLC,KSFO,12/8/19 19:14,12/8/19 20:58,77,100,100,0,0,0,0,0,97.8,97,660,670,902,694,38.51,38.51,0,5,3,2,0,0,8712.9,620.9,1708.2,325.3,8569.7,303.4,23,0
9613343,DAL,N312US,10.11.0,05.32.01,50.10.23.22,320-200,DAL2355,KAUS,KJFK,12/8/19 19:33,12/8/19 22:44,172,100,100,0,0,0,0,0,99,99.2,642,649,727,659,25.9,28.39,0,2,1,0,0,,29782.2,4185.8,14653.5,2155.8,29842.8,2094.6,51,0
9610295,DAL,N335NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL348,KSEA,KSAN,12/8/19 19:45,12/8/19 22:00,113,100,99.4,0,0.6,0,0,0,96.5,94.7,631,662,707,662,27.5,34.11,0,5,3,2,0,60,15173,1772.2,4765.1,867.2,15122.1,876.6,28,0
9623417,DAL,N817DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL1621,KDTW,KTPA,12/8/19 21:24,12/8/19 23:27,109,100,100,0,0,0,0,0,97.9,94.8,645,650,675,663,31.77,46.6,0,4,1,0,0,,12743.6,962.7,3048.2,436.6,12830.4,479.3,29,0
9614153,DAL,N326NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1241,KSLC,KSFO,12/8/19 22:35,12/9/19 00:05,68,100,85.6,10.4,4,0,0,0,96.6,94.4,619,624,661,630,,,0,2,2,1,2,514,6532.7,695.1,1128.2,340.9,6452.4,346.6,18,0
9615069,DAL,N338NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1192,KSEA,KSAN,12/8/19 23:44,12/9/19 01:53,110,100,100,0,0,0,0,0,97.6,97.6,639,659,715,665,17.57,17.57,0,5,3,2,0,60,12796.2,964.2,3042.9,487.6,12771.3,479.5,24,0
9615923,DAL,N380DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL2819,KMSP,KSLC,12/8/19 23:48,12/9/19 02:09,120,100,83.7,6.7,9.6,0,0,0,51.4,50.8,649,656,700,680,19.37,19.37,0,51,3,6,2,580,10804.9,365,359.8,164,10668.6,183.1,21,1
9617491,DAL,N304DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL797,KAUS,KJFK,12/9/19 00:12,12/9/19 03:23,172,100,97.1,0,2.9,0,0,0,92.6,92,640,646,715,653,43.47,47.01,0,5,1,0,0,,24238.1,2691.8,9324.8,1235.4,24072.9,1343.6,63,0
9617921,DAL,N365NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL936,KSLC,KSFO,12/9/19 00:27,12/9/19 02:07,87,100,91.1,0.6,8.3,0,0,0,89.9,88.7,624,639,954,674,5.45,5.45,0,4,2,1,0,60,8448.3,461,1060.2,240.4,8435.5,225,16,0
9618091,DAL,N855DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL2563,KDTW,KTPA,12/9/19 01:51,12/9/19 03:58,112,100,100,0,0,0,0,0,97.9,97.6,645,655,1339,790,21.22,32.61,0,4,1,0,0,,13309,568.7,3415.5,296,13295.7,277.2,32,0
9618461,DAL,N918DU,10.11.0,05.32.01,50.10.23.22,737-900,DAL2407,KMSP,KSLC,12/9/19 02:10,12/9/19 04:33,126,100,100,0,0,0,0,0,98.7,98.7,657,671,830,698,17.42,22.44,0,3,3,2,0,60,15071,650.7,3617.1,318.8,14976.3,327.4,28,0
9624975,DAL,N335NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL2943,KSEA,KSAN,12/9/19 03:08,12/9/19 05:14,110,100,100,0,0,0,0,0,96.9,95.7,629,673,734,679,12.26,12.26,0,6,3,2,0,0,11067.8,666.7,956.4,319.9,10944.8,335.4,22,0
9620721,DAL,N317NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL2416,KSLC,KSFO,12/9/19 05:49,12/9/19 07:16,74,100,87.7,0,12.3,0,0,0,83.9,83.9,628,638,673,643,2.85,2.85,0,3,2,1,0,0,6692.1,2028.5,743.4,985,6588.6,1011.2,16,0
9627263,DAL,N925DZ,10.11.0,05.32.01,50.10.23.22,737-900,DAL1329,KDTW,KTPA,12/9/19 12:53,12/9/19 15:03,115,100,98.6,0,1.4,0,0,0,93.6,94.8,647,656,727,669,36.08,38.55,0,1,1,0,0,,12298.1,1051.8,1870.4,423.1,12157.9,515.7,28,0
9629827,DAL,N312US,10.11.0,05.32.01,50.10.23.22,320-200,DAL1972,KAUS,KJFK,12/9/19 14:11,12/9/19 17:20,166,100,100,0,0,0,0,0,98,98.4,640,646,679,650,44.2,44.2,0,0,1,0,0,,25232.3,4438,11210.6,2268.7,25503.8,2290.8,70,0
9628743,DAL,N3739P,10.11.0,05.32.01,50.10.23.22,737-800,DAL2795,KMSP,KSLC,12/9/19 15:03,12/9/19 17:24,123,100,100,0,0,0,0,0,96.8,95.2,652,666,928,706,23.35,38.28,0,4,3,2,0,60,16565.4,1841,5360.6,860.8,16516.3,917.2,44,0
9630795,DAL,N855DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL1314,KDTW,KTPA,12/9/19 15:16,12/9/19 17:27,117,100,100,0,0,0,0,0,98.9,98.9,652,664,967,699,19.98,27.14,0,1,1,0,0,,12370.8,510,1763.8,261,12222.5,246.1,23,0
9630527,DAL,N361NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1079,KSEA,KSAN,12/9/19 15:47,12/9/19 17:48,106,100,98.1,0,1.9,0,0,0,92.7,92.7,646,663,952,689,4.34,16.57,0,6,3,2,0,60,10392,745,1183.7,328.3,10299.5,363.9,20,0
9630505,DAL,N370NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1390,KSLC,KSFO,12/9/19 16:35,12/9/19 17:57,66,100,100,0,0,0,0,0,97.5,97.5,655,665,690,663,44.59,44.59,0,4,3,2,0,60,8101.1,588,2476.1,315.1,8103.7,296.3,35,0
9631833,DAL,N927DZ,10.11.0,05.32.01,50.10.23.22,737-900,DAL2342,KDTW,KTPA,12/9/19 18:12,12/9/19 20:27,120,100,100,0,0,0,0,0,98.1,98.1,643,649,977,685,6.24,27.48,0,1,1,0,0,,13814.8,962.1,3078.8,498.9,13792.1,478.8,25,0
9634963,DAL,N359NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL2020,KSEA,KSAN,12/9/19 18:23,12/9/19 20:36,117,100,99.6,0.4,0,0,0,0,98.3,98.9,640,657,998,693,25.69,27.74,0,4,3,2,0,60,13062.2,1582.9,2249.1,745.3,12992,788.6,17,0
9635083,DAL,N929DZ,10.11.0,05.32.01,50.10.23.22,737-900,DAL434,KMSP,KSLC,12/9/19 18:42,12/9/19 21:15,128,100,100,0,0,0,0,0,98.4,97.7,646,653,778,669,50.63,51.67,0,2,3,2,0,0,15327.2,2015.2,4020.7,1006.1,15215.9,996.7,48,0
9634221,DAL,N113DQ,10.11.0,05.32.01,50.10.23.22,220-100,DAL2862,KSLC,KSFO,12/9/19 19:17,12/9/19 20:48,68,100,100,0,0,0,0,0,96.1,95.6,648,666,707,668,62.33,62.33,0,4,3,2,0,0,8507.9,829.6,2620.2,445.7,8477.4,411.9,31,0
9634547,DAL,N367NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL348,KSEA,KSAN,12/9/19 19:46,12/9/19 21:57,115,100,100,0,0,0,0,0,97.1,97.1,636,668,1349,767,18.3,22.69,0,6,3,2,0,60,13640.9,576.1,3114.6,276.3,13596.4,279.6,18,0
9639877,DAL,N304DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL2355,KAUS,KJFK,12/9/19 20:04,12/9/19 23:23,163,100,99.7,0,0.3,0,0,0,93.2,90.3,643,649,704,657,45.32,48.81,0,6,1,0,0,,27982.5,4349.5,14683.6,1976.5,27909.9,2186,68,0
9646147,DAL,N855DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL1621,KDTW,KTPA,12/9/19 22:16,12/10/19 00:26,117,100,100,0,0,0,0,0,100,97.4,648,659,1354,804,38.88,50.48,0,1,1,0,0,,14331.8,825.3,3764.4,409.1,14370.3,411.5,31,0
9637863,DAL,N370NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1241,KSLC,KSFO,12/9/19 22:18,12/9/19 23:39,67,100,100,0,0,0,0,0,97.5,93.6,671,680,1366,824,38.56,38.56,0,5,2,1,0,0,7701.3,448,1451.2,254,7556,225,22,0
